순번,이름,나이,성별,지역,직업,교육수준,소득분위,결혼상태,관심사,가치관,라이프스타일,성격특성,미디어소비,쇼핑습관,사회적관계
87,가상인물_322300678,42,여성,서울,"전문직(의사, 변호사 등)",대졸,20-40%,기혼,"여행, 영화/드라마, 운동","경험 중시, 사회적 가치, 개성 표현, 명예, 재테크 관심, 워라밸, 재물",신혼부부군,ENFJ,SNS 활발,미지정,"정 문화, 체면 중시, 가족 중심 문화"
88,가상인물_977710585,16,남성,경북,고등학생,중졸,60-80%,기혼,"영화/드라마, 운동, 게임, 봉사활동","사회적 기여, 다양성 존중, 가치소비, 디지털 네이티브, 가족, 개인주의, 건강, 공정성 중시",중고등학생군,INFP,SNS 활발,미지정,"체면 중시, 집단주의적 성향, 가족 중심 문화"
89,가상인물_874881754,69,남성,전북,은퇴자,대졸,하위 20%,미혼,"여행, 패션/뷰티, 독서","사회적 기여, 안정 추구, 명예, 공동체 의식, 건강, 가족 중시, 환경 보호, 전통 존중, 희생",실버군,ISFJ,SNS 활발,미지정,집단주의적 성향
90,가상인물_396499893,100,남성,경기,취업준비생,고졸,40-60%,기혼,"운동, 게임, IT/기술, 패션/뷰티","성공, 안정 추구, 명예, 공동체 의식, 개인 성장, 가족 중시, 전통 존중, 희생",실버군,ISFJ,유튜브/OTT 시청,미지정,정 문화
91,가상인물_362274765,34,남성,경북,기술직,대졸,60-80%,미혼,"음악, 봉사활동, IT/기술, 요리, 재테크, 여행","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 가족, 안정, 재테크 관심, 환경 보호, 워라밸",나혼산족,INFP,웹툰/웹소설 소비,미지정,체면 중시
92,가상인물_524882841,77,남성,경북,공무원,대졸,60-80%,기혼,"요리, 독서, 운동, 음악, 패션/뷰티, 봉사활동","성공, 안정 추구, 명예, 안정, 공동체 의식, 희생, 가족 중시, 전통 존중, 개인 성장, 재물",액티브시니어족,ESTJ,뉴스 앱/포털 이용,미지정,"가족 중심 문화, 정 문화"
93,가상인물_221641380,11,여성,인천,대학원생,초졸,20-40%,기혼,"재테크, 패션/뷰티, 반려동물, 독서","사회적 기여, 다양성 존중, 가치소비, 디지털 네이티브, 개인주의, 공정성 중시, 재물",초등자녀보유군,INFP,유튜브/OTT 시청,미지정,"체면 중시, 선후배 관계 중시"
94,가상인물_913175905,36,남성,부산,소상공인,고졸,60-80%,기혼,"영화/드라마, 음악, 독서","경험 중시, 사회적 가치, 개성 표현, 명예, 재테크 관심, 환경 보호, 워라밸",신혼부부군,ISFJ,SNS 활발,미지정,"집단주의적 성향, 정 문화"
95,가상인물_842064220,11,여성,경기,고등학생,초졸,상위 20%,기혼,"IT/기술, 패션/뷰티, 재테크, 게임, 여행, 요리","다양성 존중, 가치소비, 성공, 디지털 네이티브, 자유, 가족, 안정, 개인주의, 공정성 중시, 개인 성장",중고등학생군,ENFP,SNS 활발,미지정,"체면 중시, 집단주의적 성향, 가족 중심 문화"
96,가상인물_173087557,8,남성,광주,초등학생,중졸,상위 20%,기혼,"패션/뷰티, 독서, 영화/드라마, 운동, 봉사활동","명예, 성공, 환경 보호, 재물",초등자녀보유군,ESTJ,SNS 활발,미지정,"선후배 관계 중시, 체면 중시, 집단주의적 성향"
97,가상인물_862479494,72,여성,경기,교사,대졸,60-80%,미혼,"재테크, 반려동물, 여행, 게임, IT/기술, 음악","사회적 기여, 가족, 안정 추구, 공동체 의식, 건강, 가족 중시, 전통 존중, 희생",실버군,ISFJ,유튜브/OTT 시청,미지정,가족 중심 문화
98,가상인물_633819369,25,여성,인천,임업,대학원졸,20-40%,기혼,"재테크, 여행, 요리, 영화/드라마, IT/기술, 반려동물","경험 중시, 사회적 가치, 개성 표현, 자유, 안정, 재테크 관심, 워라밸",신혼부부군,INFP,웹툰/웹소설 소비,미지정,"선후배 관계 중시, 가족 중심 문화"
99,가상인물_918877326,56,남성,경기,농업,고졸,상위 20%,기혼,"영화/드라마, 봉사활동, 패션/뷰티, 요리, 운동, 독서","사회적 기여, 합리성, 자유, 명예, 환경 보호, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",액티브시니어족,ESTJ,뉴스 앱/포털 이용,미지정,정 문화
100,가상인물_549748446,5,여성,인천,고등학생,초졸,40-60%,기혼,"반려동물, 게임, 독서","사회적 기여, 건강, 명예",초등자녀보유군,ISFJ,웹툰/웹소설 소비,미지정,정 문화
101,가상인물_609058781,9,남성,경기,중학생,초졸,상위 20%,기혼,"독서, 요리, 재테크, 봉사활동, 여행, 패션/뷰티","환경 보호, 성공",초등자녀보유군,ENFJ,뉴스 앱/포털 이용,미지정,"정 문화, 집단주의적 성향"
102,가상인물_803930635,36,여성,경기,"전문직(의사, 변호사 등)",대졸,40-60%,기혼,"패션/뷰티, IT/기술, 여행","경험 중시, 사회적 가치, 개성 표현, 자유, 명예, 안정, 재테크 관심, 환경 보호, 워라밸, 재물",신혼부부군,ENFJ,웹툰/웹소설 소비,미지정,"정 문화, 체면 중시"
103,가상인물_243816709,62,여성,대전,취업준비생,대졸,20-40%,기혼,"봉사활동, 영화/드라마, 독서, 게임, 여행, 반려동물","사회적 기여, 성공, 안정 추구, 희생, 가족 중시, 전통 존중, 공동체 의식",액티브시니어족,ISFJ,SNS 활발,미지정,선후배 관계 중시
104,가상인물_423280433,73,남성,서울,소상공인,대졸,상위 20%,기혼,"요리, 여행, 재테크","가족, 명예, 안정 추구, 공동체 의식, 가족 중시, 전통 존중, 희생",실버군,ISFJ,유튜브/OTT 시청,미지정,"체면 중시, 정 문화"
105,가상인물_126453355,6,여성,대구,고등학생,초졸,하위 20%,미혼,"요리, 영화/드라마, 재테크","건강, 명예",초등자녀보유군,ISFJ,SNS 활발,미지정,"정 문화, 가족 중심 문화"
106,가상인물_802892873,83,여성,대구,중소기업 대표,초졸,20-40%,미혼,"패션/뷰티, 운동, 독서, 봉사활동, 여행","사회적 기여, 성공, 가족, 안정 추구, 공동체 의식, 가족 중시, 전통 존중, 희생",액티브시니어족,ISFJ,유튜브/OTT 시청,미지정,선후배 관계 중시
107,가상인물_689212411,29,여성,부산,공무원,대학원졸,40-60%,미혼,"패션/뷰티, 음악, 봉사활동, 독서, IT/기술","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 안정, 재테크 관심, 건강, 환경 보호, 워라밸, 개인 성장",나혼산족,INFJ,SNS 활발,미지정,선후배 관계 중시
108,가상인물_820098130,90,남성,경기,기타 무직,대졸,하위 20%,미혼,"여행, 게임, 독서, 재테크","성공, 가족, 안정 추구, 공동체 의식, 건강, 환경 보호, 가족 중시, 전통 존중, 희생",실버군,ISFJ,유튜브/OTT 시청,미지정,선후배 관계 중시
109,가상인물_417137535,56,여성,경북,영업/마케팅,대학원졸,60-80%,사별,"봉사활동, IT/기술, 운동, 음악, 요리","합리성, 자유, 안정, 건강, 개성, 환경 보호, 가족과 개인의 균형, 문화적 개방성, 자기계발",액티브시니어족,ENFJ,SNS 활발,미지정,"체면 중시, 정 문화, 집단주의적 성향"
110,가상인물_398205027,51,남성,경기,기타 무직,중졸,상위 20%,이혼,"독서, 여행, IT/기술","성공, 합리성, 자유, 명예, 가족, 환경 보호, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",액티브시니어족,INTJ,SNS 활발,미지정,"체면 중시, 가족 중심 문화, 집단주의적 성향"
111,가상인물_373476963,50,남성,경기,은퇴자,대졸,40-60%,미혼,"게임, 여행, 반려동물, IT/기술, 운동","사회적 기여, 합리성, 자유, 명예, 환경 보호, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",액티브시니어족,INTJ,유튜브/OTT 시청,미지정,"가족 중심 문화, 집단주의적 성향"
112,가상인물_134761346,17,남성,경기,초등학생,중졸,40-60%,기혼,"운동, 봉사활동, 반려동물, 독서, IT/기술","사회적 기여, 다양성 존중, 가치소비, 디지털 네이티브, 개인주의, 건강, 공정성 중시",초등자녀보유군,INFP,뉴스 앱/포털 이용,미지정,선후배 관계 중시
113,가상인물_718426297,5,남성,경북,대학원생,초졸,20-40%,기혼,"재테크, IT/기술, 음악, 여행","성공, 가족, 명예, 안정, 개인 성장",영아자녀보유군,INFP,웹툰/웹소설 소비,미지정,"가족 중심 문화, 정 문화, 선후배 관계 중시"
114,가상인물_789928992,23,남성,서울,"전문직(의사, 변호사 등)",고졸,20-40%,미혼,"운동, 독서, IT/기술, 여행, 영화/드라마, 반려동물","다양성 존중, 가치소비, 성공, 디지털 네이티브, 가족, 명예, 개인주의, 건강, 환경 보호, 공정성 중시",나혼산족,INTP,뉴스 앱/포털 이용,미지정,"집단주의적 성향, 정 문화"
115,가상인물_432902895,35,여성,인천,임업,고졸,하위 20%,이혼,"반려동물, 봉사활동, 영화/드라마, 독서","경험 중시, 성공, 사회적 가치, 개성 표현, 가족, 안정, 재테크 관심, 워라밸, 개인 성장, 재물",나혼산족,ISFJ,SNS 활발,미지정,"정 문화, 선후배 관계 중시, 집단주의적 성향"
116,가상인물_392725934,54,여성,전북,전업주부,대졸,상위 20%,이혼,"재테크, IT/기술, 영화/드라마, 봉사활동, 여행","성공, 합리성, 자유, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",액티브시니어족,ENTJ,웹툰/웹소설 소비,미지정,"집단주의적 성향, 선후배 관계 중시, 정 문화"
117,가상인물_931552449,77,남성,울산,어업,고졸,40-60%,기혼,"봉사활동, 요리, 반려동물, 재테크, 게임","안정 추구, 명예, 공동체 의식, 환경 보호, 가족 중시, 전통 존중, 희생, 재물",액티브시니어족,ISFJ,SNS 활발,미지정,정 문화
118,가상인물_253468375,25,남성,서울,어업,고졸,상위 20%,기혼,"게임, 요리, 반려동물, 재테크, IT/기술","경험 중시, 성공, 사회적 가치, 개성 표현, 가족, 재테크 관심, 워라밸",신혼부부군,ESTJ,뉴스 앱/포털 이용,미지정,가족 중심 문화
119,가상인물_499246171,1,남성,강원,대학생,초졸,40-60%,사별,"게임, 음악, 운동, 반려동물, 독서","자유, 가족, 재물",대학생군,INFP,뉴스 앱/포털 이용,미지정,가족 중심 문화
120,가상인물_512907485,36,여성,경남,기술직,고졸,40-60%,기혼,"독서, 게임, 음악, 재테크","경험 중시, 사회적 가치, 개성 표현, 재테크 관심, 환경 보호, 워라밸, 개인 성장",신혼부부군,ISFJ,뉴스 앱/포털 이용,미지정,"집단주의적 성향, 정 문화"
121,가상인물_424609339,63,남성,대구,임업,대학원졸,40-60%,미혼,"영화/드라마, 운동, 패션/뷰티","성공, 안정 추구, 명예, 공동체 의식, 건강, 환경 보호, 가족 중시, 전통 존중, 희생, 재물",액티브시니어족,ISTJ,SNS 활발,미지정,"정 문화, 체면 중시"
122,가상인물_503442851,49,여성,경기,전업주부,대졸,상위 20%,미혼,"음악, 영화/드라마, 여행, 게임, 반려동물, 운동","성공, 합리성, 명예, 건강, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장, 재물",나혼산족,INFP,유튜브/OTT 시청,미지정,정 문화
123,가상인물_887691943,53,여성,경기,중소기업 대표,중졸,상위 20%,미혼,"IT/기술, 요리, 봉사활동","사회적 기여, 합리성, 명예, 개성, 환경 보호, 가족과 개인의 균형, 문화적 개방성, 자기계발",나혼산족,ENTJ,SNS 활발,미지정,"정 문화, 집단주의적 성향, 가족 중심 문화"
124,가상인물_626529953,58,여성,경기,공무원,대졸,상위 20%,기혼,"음악, 재테크, 독서","합리성, 건강, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",액티브시니어족,ESFJ,SNS 활발,미지정,"집단주의적 성향, 체면 중시, 선후배 관계 중시"
125,가상인물_641877412,16,여성,인천,초등학생,고졸,60-80%,미혼,"음악, 재테크, 운동, 반려동물, 패션/뷰티, 독서","다양성 존중, 가치소비, 디지털 네이티브, 자유, 개인주의, 환경 보호, 공정성 중시",중고등학생군,INFP,SNS 활발,미지정,"체면 중시, 가족 중심 문화"
126,가상인물_453696686,40,남성,충남,"전문직(의사, 변호사 등)",대졸,상위 20%,기혼,"요리, 영화/드라마, 독서, 음악","경험 중시, 사회적 가치, 개성 표현, 자유, 재테크 관심, 건강, 워라밸",신혼부부군,INFJ,웹툰/웹소설 소비,미지정,"체면 중시, 정 문화"
127,가상인물_912517575,50,여성,경기,"전문직(의사, 변호사 등)",대졸,상위 20%,미혼,"요리, 재테크, 여행, 게임","사회적 기여, 합리성, 안정, 개성, 환경 보호, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",나혼산족,INTJ,웹툰/웹소설 소비,미지정,체면 중시
128,가상인물_397677254,53,여성,경기,사무직,대졸,상위 20%,기혼,"게임, 여행, 음악, 재테크, IT/기술","성공, 합리성, 자유, 안정, 개성, 건강, 가족과 개인의 균형, 문화적 개방성, 자기계발",자녀결혼군,ENTJ,뉴스 앱/포털 이용,미지정,"집단주의적 성향, 정 문화, 선후배 관계 중시"
129,가상인물_994767968,44,남성,경남,기술직,대졸,하위 20%,기혼,"음악, 요리, 영화/드라마, 독서, 반려동물","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 가족, 안정, 재테크 관심, 워라밸, 재물",펫팸족,ISFJ,SNS 활발,미지정,"정 문화, 체면 중시"
130,가상인물_363718615,25,여성,서울,영업/마케팅,고졸,하위 20%,기혼,"독서, 반려동물, 재테크, 영화/드라마","경험 중시, 사회적 가치, 개성 표현, 안정, 재테크 관심, 워라밸, 재물",신혼부부군,ISFJ,웹툰/웹소설 소비,미지정,체면 중시
131,가상인물_704314478,27,여성,대전,사무직,대학원졸,하위 20%,기혼,"봉사활동, 음악, 재테크, 게임, 운동","경험 중시, 사회적 기여, 성공, 사회적 가치, 개성 표현, 가족, 명예, 안정, 재테크 관심, 워라밸",신혼부부군,INFJ,웹툰/웹소설 소비,미지정,정 문화
132,가상인물_433544034,63,남성,경기,"전문직(의사, 변호사 등)",대졸,상위 20%,기혼,"독서, 음악, 재테크, 요리, 게임","사회적 기여, 성공, 안정 추구, 공동체 의식, 환경 보호, 가족 중시, 희생, 전통 존중, 개인 성장, 재물",액티브시니어족,ESTJ,웹툰/웹소설 소비,미지정,체면 중시
133,가상인물_471825638,39,남성,서울,"전문직(의사, 변호사 등)",대졸,상위 20%,미혼,"봉사활동, 운동, 재테크","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 자유, 명예, 안정, 재테크 관심, 워라밸, 개인 성장",나혼산족,ENTJ,SNS 활발,미지정,체면 중시
134,가상인물_829425219,80,여성,부산,기타 무직,고졸,40-60%,기혼,"여행, 봉사활동, 패션/뷰티, 게임, 영화/드라마","사회적 기여, 성공, 가족, 명예, 안정 추구, 공동체 의식, 건강, 가족 중시, 전통 존중, 희생",실버군,ISFJ,웹툰/웹소설 소비,미지정,집단주의적 성향
135,가상인물_653991139,44,여성,경기,교사,대학원졸,20-40%,기혼,"재테크, 봉사활동, 여행, 패션/뷰티","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 명예, 재테크 관심, 환경 보호, 워라밸, 개인 성장, 재물",자녀결혼군,ESFJ,SNS 활발,미지정,집단주의적 성향
136,가상인물_329040761,65,여성,서울,취업준비생,대졸,60-80%,기혼,"운동, 반려동물, 독서","사회적 기여, 자유, 가족, 안정 추구, 공동체 의식, 환경 보호, 가족 중시, 전통 존중, 희생",액티브시니어족,ISFJ,웹툰/웹소설 소비,미지정,"정 문화, 선후배 관계 중시, 체면 중시"
137,가상인물_349741246,41,남성,전남,프리랜서,고졸,20-40%,기혼,"음악, 봉사활동, IT/기술","경험 중시, 사회적 가치, 개성 표현, 자유, 가족, 재테크 관심, 워라밸",신혼부부군,ISFJ,뉴스 앱/포털 이용,미지정,"정 문화, 집단주의적 성향, 선후배 관계 중시"
138,가상인물_343800649,61,여성,경기,취업준비생,대학원졸,상위 20%,미혼,"봉사활동, 여행, 게임, 패션/뷰티, 영화/드라마, 독서","사회적 기여, 성공, 자유, 명예, 안정 추구, 공동체 의식, 가족 중시, 전통 존중, 희생",액티브시니어족,INFJ,뉴스 앱/포털 이용,미지정,"가족 중심 문화, 정 문화"
139,가상인물_599128568,4,여성,경기,초등학생,중졸,60-80%,기혼,"영화/드라마, 운동, 독서, 요리, IT/기술","성공, 재물",유아자녀보유군,ISFJ,뉴스 앱/포털 이용,미지정,"선후배 관계 중시, 체면 중시"
140,가상인물_404696848,7,여성,전북,대학원생,초졸,40-60%,기혼,"여행, 재테크, 독서","명예, 성공",초등자녀보유군,ISFJ,웹툰/웹소설 소비,미지정,"체면 중시, 정 문화, 가족 중심 문화"
141,가상인물_105514740,53,여성,제주,중소기업 대표,대졸,상위 20%,기혼,"재테크, IT/기술, 영화/드라마, 반려동물, 패션/뷰티","성공, 합리성, 명예, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",액티브시니어족,ENTJ,유튜브/OTT 시청,미지정,"체면 중시, 선후배 관계 중시"
142,가상인물_137712302,5,남성,인천,초등학생,초졸,60-80%,기혼,"반려동물, 여행, 요리, 영화/드라마, IT/기술","자유, 명예, 건강, 환경 보호, 개인 성장",초등자녀보유군,INFP,유튜브/OTT 시청,미지정,선후배 관계 중시
143,가상인물_609594263,28,남성,대구,기술직,고졸,60-80%,기혼,"재테크, 게임, 반려동물, 음악, 봉사활동","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 명예, 재테크 관심, 건강, 워라밸",신혼부부군,ISFJ,유튜브/OTT 시청,미지정,"가족 중심 문화, 정 문화, 집단주의적 성향"
144,가상인물_441435635,2,여성,경기,고등학생,초졸,20-40%,기혼,"운동, 요리, 여행, 영화/드라마","자유, 건강, 재물",영아자녀보유군,ISFJ,뉴스 앱/포털 이용,미지정,"집단주의적 성향, 정 문화"
145,가상인물_342635568,14,여성,경기,초등학생,중졸,상위 20%,미혼,"IT/기술, 영화/드라마, 음악","사회적 기여, 다양성 존중, 가치소비, 성공, 디지털 네이티브, 가족, 명예, 개인주의, 환경 보호, 공정성 중시",중고등학생군,ENFP,SNS 활발,미지정,"선후배 관계 중시, 정 문화"
146,가상인물_451043446,54,여성,부산,기술직,중졸,20-40%,기혼,"요리, 재테크, 봉사활동, 반려동물","사회적 기여, 합리성, 가족, 건강, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",자녀결혼군,ISFJ,웹툰/웹소설 소비,미지정,집단주의적 성향
147,가상인물_257791967,62,여성,경기,기술직,대졸,20-40%,미혼,"재테크, 여행, 반려동물, 운동, 요리, 봉사활동","성공, 안정 추구, 공동체 의식, 환경 보호, 개인 성장, 가족 중시, 전통 존중, 희생",액티브시니어족,ISFJ,웹툰/웹소설 소비,미지정,가족 중심 문화
148,가상인물_632492417,30,남성,전남,공무원,대학원졸,상위 20%,미혼,"봉사활동, 요리, 패션/뷰티, 여행, 영화/드라마","경험 중시, 성공, 사회적 가치, 개성 표현, 자유, 안정, 재테크 관심, 건강, 워라밸, 재물",나혼산족,ENFJ,웹툰/웹소설 소비,미지정,"집단주의적 성향, 선후배 관계 중시"
149,가상인물_225727799,62,여성,서울,중소기업 대표,고졸,하위 20%,기혼,"패션/뷰티, 독서, 반려동물, 게임, 음악","성공, 자유, 명예, 가족, 안정 추구, 공동체 의식, 가족 중시, 전통 존중, 희생, 재물",액티브시니어족,ISFJ,유튜브/OTT 시청,미지정,"선후배 관계 중시, 정 문화"
150,가상인물_113112648,67,남성,서울,교사,대졸,상위 20%,기혼,"운동, 여행, 독서, 음악, 봉사활동","안정 추구, 안정, 공동체 의식, 건강, 가족 중시, 환경 보호, 전통 존중, 희생, 재물",액티브시니어족,ISFJ,SNS 활발,미지정,"체면 중시, 정 문화"
151,가상인물_788764455,60,여성,경기,은퇴자,고졸,40-60%,이혼,"IT/기술, 여행, 운동, 게임, 봉사활동","사회적 기여, 성공, 자유, 가족, 안정 추구, 공동체 의식, 가족 중시, 전통 존중, 희생, 재물",액티브시니어족,ISFJ,뉴스 앱/포털 이용,미지정,선후배 관계 중시
152,가상인물_680521202,66,남성,경남,어업,중졸,하위 20%,기혼,"독서, 게임, 패션/뷰티, 여행, 요리","성공, 안정 추구, 명예, 안정, 공동체 의식, 희생, 가족 중시, 전통 존중, 개인 성장",실버군,ISFJ,웹툰/웹소설 소비,미지정,정 문화
153,가상인물_666821883,67,남성,세종,취업준비생,고졸,상위 20%,기혼,"독서, 운동, 반려동물","성공, 자유, 가족, 안정 추구, 공동체 의식, 가족 중시, 전통 존중, 희생, 재물",액티브시니어족,ISFJ,유튜브/OTT 시청,미지정,"가족 중심 문화, 집단주의적 성향, 체면 중시"
154,가상인물_968121002,57,여성,대구,기술직,대졸,40-60%,미혼,"게임, 반려동물, 요리, 여행, 패션/뷰티","성공, 합리성, 가족, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",나혼산족,INFP,웹툰/웹소설 소비,미지정,"정 문화, 체면 중시"
155,가상인물_486302605,57,남성,인천,영업/마케팅,대학원졸,상위 20%,이혼,"패션/뷰티, 게임, 여행","사회적 기여, 합리성, 자유, 명예, 안정, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",액티브시니어족,ENTJ,유튜브/OTT 시청,미지정,"선후배 관계 중시, 체면 중시"
156,가상인물_760504545,49,여성,서울,중소기업 대표,중졸,하위 20%,기혼,"재테크, 반려동물, 영화/드라마, 봉사활동, 운동, 독서","합리성, 자유, 명예, 개성, 환경 보호, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",펫팸족,ISFJ,SNS 활발,미지정,"선후배 관계 중시, 집단주의적 성향, 가족 중심 문화"
157,가상인물_215574691,62,여성,서울,기타 무직,고졸,40-60%,미혼,"반려동물, 봉사활동, 운동","사회적 기여, 자유, 안정 추구, 공동체 의식, 가족 중시, 전통 존중, 희생",액티브시니어족,ISFJ,유튜브/OTT 시청,미지정,"정 문화, 체면 중시"
158,가상인물_699010389,75,남성,인천,취업준비생,대졸,상위 20%,미혼,"운동, IT/기술, 독서, 패션/뷰티, 게임, 봉사활동","성공, 가족, 안정 추구, 안정, 공동체 의식, 건강, 가족 중시, 전통 존중, 희생",액티브시니어족,INFJ,웹툰/웹소설 소비,미지정,집단주의적 성향
159,가상인물_642622062,59,여성,인천,중소기업 대표,고졸,하위 20%,기혼,"여행, 봉사활동, 독서, 반려동물","사회적 기여, 합리성, 자유, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",액티브시니어족,ISFJ,뉴스 앱/포털 이용,미지정,집단주의적 성향
160,가상인물_348516876,31,여성,경기,기술직,대졸,상위 20%,미혼,"영화/드라마, 음악, 반려동물, 여행","경험 중시, 사회적 가치, 개성 표현, 재테크 관심, 건강, 워라밸, 개인 성장",나혼산족,ENFJ,SNS 활발,미지정,"집단주의적 성향, 가족 중심 문화"
161,가상인물_898671264,66,남성,충북,취업준비생,대졸,상위 20%,기혼,"패션/뷰티, 영화/드라마, 여행, 재테크","사회적 기여, 가족, 안정 추구, 안정, 공동체 의식, 희생, 가족 중시, 전통 존중, 개인 성장",자녀결혼군,ISFJ,뉴스 앱/포털 이용,미지정,"가족 중심 문화, 집단주의적 성향"
162,가상인물_672660631,38,여성,서울,교사,고졸,상위 20%,기혼,"요리, 봉사활동, 여행, 음악, 영화/드라마","경험 중시, 사회적 가치, 개성 표현, 자유, 가족, 재테크 관심, 워라밸",신혼부부군,ESFJ,웹툰/웹소설 소비,미지정,집단주의적 성향
163,가상인물_122927003,34,여성,경기,전업주부,대졸,상위 20%,미혼,"요리, 패션/뷰티, 봉사활동, 재테크","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 재테크 관심, 워라밸, 재물",나혼산족,ENFJ,SNS 활발,미지정,"체면 중시, 가족 중심 문화, 집단주의적 성향"
164,가상인물_864258002,40,남성,대전,공무원,고졸,40-60%,기혼,"요리, IT/기술, 패션/뷰티","경험 중시, 사회적 가치, 개성 표현, 안정, 재테크 관심, 워라밸, 개인 성장",신혼부부군,ISFJ,SNS 활발,미지정,"가족 중심 문화, 정 문화"
165,가상인물_813785611,33,남성,제주,사무직,대졸,60-80%,기혼,"운동, 반려동물, 재테크, 요리","경험 중시, 사회적 가치, 개성 표현, 자유, 안정, 재테크 관심, 워라밸, 재물",신혼부부군,ISFJ,SNS 활발,미지정,"선후배 관계 중시, 체면 중시, 정 문화"
166,가상인물_675560827,36,여성,부산,교사,고졸,40-60%,기혼,"영화/드라마, 요리, 패션/뷰티, 반려동물","경험 중시, 사회적 기여, 사회적 가치, 개성 표현, 가족, 재테크 관심, 워라밸",신혼부부군,ISFJ,유튜브/OTT 시청,미지정,"체면 중시, 정 문화, 집단주의적 성향"
167,가상인물_539723965,26,여성,서울,육아휴직중,대졸,상위 20%,사별,"영화/드라마, 여행, 운동, 게임, 반려동물","경험 중시, 사회적 가치, 개성 표현, 가족, 안정, 재테크 관심, 건강, 워라밸, 재물",영아자녀보유군,ISFJ,뉴스 앱/포털 이용,미지정,"집단주의적 성향, 체면 중시, 정 문화"
168,가상인물_886191597,44,여성,강원,공무원,대졸,40-60%,미혼,"게임, 영화/드라마, 독서, 재테크, 봉사활동, IT/기술","경험 중시, 사회적 가치, 개성 표현, 가족, 재테크 관심, 건강, 워라밸, 재물",나혼산족,INFJ,SNS 활발,미지정,"집단주의적 성향, 정 문화"
169,가상인물_411011562,14,남성,울산,대학원생,초졸,20-40%,미혼,"패션/뷰티, 봉사활동, 운동, 재테크, 영화/드라마, 요리","다양성 존중, 가치소비, 디지털 네이티브, 가족, 개인주의, 환경 보호, 공정성 중시, 개인 성장, 재물",중고등학생군,INFP,뉴스 앱/포털 이용,미지정,"체면 중시, 선후배 관계 중시, 가족 중심 문화"
170,가상인물_190891868,62,여성,대전,중소기업 대표,고졸,하위 20%,미혼,"운동, IT/기술, 게임, 독서","성공, 안정 추구, 안정, 공동체 의식, 환경 보호, 가족 중시, 희생, 전통 존중, 개인 성장, 재물",액티브시니어족,ISFJ,SNS 활발,미지정,가족 중심 문화
171,가상인물_427250277,49,여성,충남,공무원,대졸,상위 20%,기혼,"운동, 영화/드라마, 재테크, 패션/뷰티, 봉사활동","사회적 기여, 합리성, 명예, 안정, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발, 개인 성장",액티브시니어족,ESFJ,뉴스 앱/포털 이용,미지정,"선후배 관계 중시, 정 문화, 집단주의적 성향"
172,가상인물_570711756,59,여성,서울,농업,대졸,상위 20%,미혼,"IT/기술, 요리, 운동","사회적 기여, 성공, 합리성, 명예, 안정, 건강, 개성, 가족과 개인의 균형, 문화적 개방성, 자기계발",액티브시니어족,INTJ,유튜브/OTT 시청,미지정,"정 문화, 체면 중시"
173,가상인물_778800230,4,남성,경남,중학생,중졸,40-60%,기혼,"패션/뷰티, 음악, 봉사활동, IT/기술, 게임","가족, 건강",유아자녀보유군,INFP,웹툰/웹소설 소비,미지정,가족 중심 문화
174,가상인물_859409447,39,남성,강원,영업/마케팅,대졸,60-80%,기혼,"요리, 재테크, 반려동물, 게임, 여행","경험 중시, 사회적 가치, 개성 표현, 자유, 명예, 재테크 관심, 건강, 워라밸, 개인 성장, 재물",신혼부부군,ESTJ,뉴스 앱/포털 이용,미지정,"가족 중심 문화, 집단주의적 성향"
175,가상인물_778931476,13,남성,광주,초등학생,중졸,40-60%,기혼,"패션/뷰티, 운동, 여행, 반려동물, 요리, IT/기술","사회적 기여, 다양성 존중, 가치소비, 디지털 네이티브, 자유, 가족, 안정, 개인주의, 공정성 중시, 재물",초등자녀보유군,INFP,웹툰/웹소설 소비,미지정,"집단주의적 성향, 가족 중심 문화, 체면 중시"
